osm_key,osm_type,osm_id,name,latitude,longitude,stop_type,operator,network,tags_json
node/1439577957,node,1439577957,Esplanāde,56.9538632,24.1166067,bus_stop,Rīgas satiksme,,"{""bench"": ""yes"", ""bin"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Esplanāde"", ""operator"": ""Rīgas satiksme"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/1439577964,node,1439577964,Sergeja Eizenšteina iela,56.9591177,24.2323905,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Sergeja Eizenšteina iela"", ""name:etymology"": ""Sergejs Eizenšteins"", ""name:etymology:wikidata"": ""Q8003"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1443259217,node,1443259217,Dzirnavu iela,56.9505749,24.1254072,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Dzirnavu iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/1443259239,node,1443259239,Dzirnavu iela,56.9505608,24.1249471,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Dzirnavu iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/1443259245,node,1443259245,Zemitānu stacija,56.9647551,24.1566995,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""layer"": ""1"", ""lit"": ""yes"", ""name"": ""Zemitānu stacija"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes"", ""wheelchair"": ""no""}"
node/1443259274,node,1443259274,Zemitānu stacija,56.9649743,24.1560976,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""layer"": ""1"", ""lit"": ""yes"", ""name"": ""Zemitānu stacija"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1443440000,node,1443440000,Liepiņas,56.9446008,24.2212622,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Liepiņas"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no""}"
node/1443441292,node,1443441292,Andreja Saharova iela,56.9440013,24.2056584,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Andreja Saharova iela"", ""name:etymology"": ""Andrejs Saharovs"", ""name:etymology:wikidata"": ""Q997"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1443441293,node,1443441293,Augusta Deglava iela,56.9448235,24.2066479,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Augusta Deglava iela"", ""name:etymology"": ""Augusts Deglavs"", ""name:etymology:wikidata"": ""Q4156586"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1443441294,node,1443441294,Teikas vidusskola,56.9752918,24.1833567,bus_stop,,,"{""bench"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Teikas vidusskola"", ""public_transport"": ""platform"", ""trolleybus"": ""yes""}"
node/1443441295,node,1443441295,Aizkraukles iela,56.9755846,24.1876116,bus_stop,,,"{""bench"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Aizkraukles iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""trolleybus"": ""yes""}"
node/1443441297,node,1443441297,Brāļu Kaudzīšu iela,56.9407568,24.2042755,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Brāļu Kaudzīšu iela"", ""name:etymology"": ""Brāļi Kaudzītes"", ""name:etymology:wikidata"": ""Q16353318"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""trolleybus"": ""yes""}"
node/1443441298,node,1443441298,Brāļu Kaudzīšu iela,56.9416968,24.2053268,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Brāļu Kaudzīšu iela"", ""name:etymology"": ""Brāļi Kaudzītes"", ""name:etymology:wikidata"": ""Q16353318"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""trolleybus"": ""yes""}"
node/1443441299,node,1443441299,Bajāru iela,56.9727699,24.1798451,bus_stop,,,"{""highway"": ""bus_stop"", ""name"": ""Bajāru iela"", ""public_transport"": ""platform"", ""trolleybus"": ""yes""}"
node/1443441300,node,1443441300,Dārzciema iela,56.9494868,24.184153,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Dārzciema iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""trolleybus"": ""yes""}"
node/1443441301,node,1443441301,Purvciema iela,56.9549039,24.1753093,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""no"", ""name"": ""Purvciema iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
