place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJj46E3UzD7kYRHvx_-FVeFtE,21. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.99065,23.88449,9G85XVRM+7Q,"XVRM+7Q Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=15066333326748941342,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:36.556243
ChIJjzeoJ7fc7kYRaN6fNMNXHYU,Lielupes stacija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98281,23.87095,9G85XVMC+49,"XVMC+49 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=9591919277282156136,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:36.721164
ChIJiZSmL7fc7kYROJwWhLRCRiQ,Lielupes stacija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98236,23.87105,9G85XVJC+WC,"XVJC+WC Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",4.7,6.0,,,,https://maps.google.com/?cid=2613849976812772408,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:36.899431
ChIJ3am6Csbc7kYR4W2_nuyqRx8,Bulduru stacija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98248,23.85136,9G85XVJ2+XG,"XVJ2+XG Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",4.0,3.0,,,,https://maps.google.com/?cid=2253958071774572001,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:37.072237
ChIJiSSroU3D7kYRsEnp8Qjfv0g,23. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.99154,23.88861,9G85XVRQ+JC,"XVRQ+JC Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=5242153720793876912,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:37.239168
ChIJiYgM3MXc7kYRiZTh-NhCtHk,Bulduru stacija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.9823,23.8503,9G85XVJ2+W4,"XVJ2+W4 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=8769707874053100681,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:37.407767
ChIJHbvFmE3D7kYRhPXE1LGjW7w,23. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.99165,23.88924,9G85XVRQ+MM,"XVRQ+MM Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=13572621886185338244,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:37.582949
ChIJs3WdpbHc7kYRMWJSn761Prs,Vikingu iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98228,23.87829,9G85XVJH+W8,"XVJH+W8 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=13492421363969974833,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:37.748631
ChIJRfwFvLHc7kYRzbyANOVL_sI,Vikingu iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98240999999999,23.87933,9G85XVJH+XP,"XVJH+XP Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",3.0,2.0,,,,https://maps.google.com/?cid=14050751335242972365,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:37.939476
ChIJsdYoD1LD7kYRJ4wkZIPRogw,Marienbāde,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.9925,23.89319,9G85XVVV+27,"XVVV+27 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",5.0,1.0,,,,https://maps.google.com/?cid=910520436933299239,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:38.115161
